step,timestamp,candle_index,direction,reason,event
SWEEP_to_DISPLACEMENT,2024-06-04T09:45:00,791,,Displacement | body_ratio=0.738 wick=4.47000,STATE_TRANSITION
DISPLACEMENT_to_EXPANSION,2024-06-04T10:00:00,792,,Bearish expansion | close=2343.74000 disp_close=2344.50000,STATE_TRANSITION
RANGE_to_SWEEP,2024-06-04T14:00:00,808,,Sweep @ 2326.82000 idx=808,STATE_TRANSITION
SWEEP_to_DISPLACEMENT,2024-06-04T15:15:00,813,,Displacement | body_ratio=0.918 wick=5.27000,STATE_TRANSITION
DISPLACEMENT_to_EXPANSION,2024-06-04T15:45:00,815,,Bullish expansion | close=2335.17000 disp_close=2333.12000,STATE_TRANSITION
EXPANSION_to_RETEST,2024-06-04T18:30:00,826,,Retest | depth_abs=1.25000 ceiling=3.75300,STATE_TRANSITION
RETEST_to_EXECUTION,2024-06-04T18:45:00,827,,Risk approved → entering execution,STATE_TRANSITION
TRADE_OPENED,2024-06-04T18:45:00,827,LONG,,TRADE_OPENED
EXECUTION_to_RESOLUTION,2024-06-04T19:00:00,828,,Trade closed: STOPPED,STATE_TRANSITION
RANGE_to_SWEEP,2024-06-05T04:00:00,860,,Sweep @ 2325.91000 idx=860,STATE_TRANSITION
SWEEP_to_DISPLACEMENT,2024-06-05T04:30:00,862,,Displacement | body_ratio=0.749 wick=2.23000,STATE_TRANSITION
DISPLACEMENT_to_EXPANSION,2024-06-05T04:45:00,863,,Bullish expansion | close=2330.54000 disp_close=2329.42000,STATE_TRANSITION
RANGE_to_SWEEP,2024-06-05T05:30:00,866,,Sweep @ 2333.53000 idx=866,STATE_TRANSITION
RANGE_to_SWEEP,2024-06-05T13:30:00,898,,Sweep @ 2335.22000 idx=898,STATE_TRANSITION
RANGE_to_SWEEP,2024-06-06T01:00:00,940,,Sweep @ 2357.79000 idx=940,STATE_TRANSITION
RANGE_to_SWEEP,2024-06-06T10:30:00,978,,Sweep @ 2363.10000 idx=978,STATE_TRANSITION
RANGE_to_SWEEP,2024-06-06T15:15:00,997,,Sweep @ 2357.37000 idx=997,STATE_TRANSITION
SWEEP_to_DISPLACEMENT,2024-06-06T16:15:00,1001,,Displacement | body_ratio=0.859 wick=6.25000,STATE_TRANSITION
RANGE_to_SWEEP,2024-06-06T18:45:00,1011,,Sweep @ 2378.52000 idx=1011,STATE_TRANSITION
RANGE_to_SWEEP,2024-06-07T02:00:00,1036,,Sweep @ 2377.27000 idx=1036,STATE_TRANSITION
RANGE_to_SWEEP,2024-06-07T04:00:00,1044,,Sweep @ 2380.06000 idx=1044,STATE_TRANSITION
RANGE_to_SWEEP,2024-06-07T08:00:00,1060,,Sweep @ 2387.72000 idx=1060,STATE_TRANSITION
SWEEP_to_DISPLACEMENT,2024-06-07T11:00:00,1072,,Displacement | body_ratio=0.970 wick=23.01000,STATE_TRANSITION
RANGE_to_SWEEP,2024-06-10T05:00:00,1140,,Sweep @ 2301.39000 idx=1140,STATE_TRANSITION
RANGE_to_SWEEP,2024-06-10T10:15:00,1161,,Sweep @ 2291.60000 idx=1161,STATE_TRANSITION
RANGE_to_SWEEP,2024-06-11T04:15:00,1229,,Sweep @ 2305.70000 idx=1229,STATE_TRANSITION
RANGE_to_SWEEP,2024-06-11T08:30:00,1246,,Sweep @ 2297.77000 idx=1246,STATE_TRANSITION
RANGE_to_SWEEP,2024-06-11T09:30:00,1250,,Sweep @ 2304.67000 idx=1250,STATE_TRANSITION
RANGE_to_SWEEP,2024-06-11T13:30:00,1266,,Sweep @ 2308.91000 idx=1266,STATE_TRANSITION
RANGE_to_SWEEP,2024-06-11T23:30:00,1306,,Sweep @ 2316.50000 idx=1306,STATE_TRANSITION
RANGE_to_SWEEP,2024-06-12T04:45:00,1323,,Sweep @ 2311.09000 idx=1323,STATE_TRANSITION
RANGE_to_SWEEP,2024-06-12T09:15:00,1341,,Sweep @ 2317.78000 idx=1341,STATE_TRANSITION
SWEEP_to_DISPLACEMENT,2024-06-12T09:45:00,1343,,Displacement | body_ratio=0.667 wick=3.15000,STATE_TRANSITION
RANGE_to_SWEEP,2024-06-12T10:30:00,1346,,Sweep @ 2311.22000 idx=1346,STATE_TRANSITION
RANGE_to_SWEEP,2024-06-12T15:15:00,1365,,Sweep @ 2316.18000 idx=1365,STATE_TRANSITION
RANGE_to_SWEEP,2024-06-12T22:30:00,1394,,Sweep @ 2315.91000 idx=1394,STATE_TRANSITION
RANGE_to_SWEEP,2024-06-13T13:45:00,1451,,Sweep @ 2319.21000 idx=1451,STATE_TRANSITION
SWEEP_to_DISPLACEMENT,2024-06-13T14:30:00,1454,,Displacement | body_ratio=0.882 wick=5.33000,STATE_TRANSITION
SWEEP_to_EXPANSION_shadow,2024-06-13T15:45:00,1459,,Shadow resume: displacement carried from prior HTF window — strength check skipped,STATE_TRANSITION
RANGE_to_SWEEP,2024-06-14T03:30:00,1502,,Sweep @ 2305.05000 idx=1502,STATE_TRANSITION
RANGE_to_SWEEP,2024-06-14T06:15:00,1513,,Sweep @ 2308.71000 idx=1513,STATE_TRANSITION
RANGE_to_SWEEP,2024-06-14T20:30:00,1570,,Sweep @ 2335.62000 idx=1570,STATE_TRANSITION
RANGE_to_SWEEP,2024-06-17T05:30:00,1602,,Sweep @ 2321.83000 idx=1602,STATE_TRANSITION
RANGE_to_SWEEP,2024-06-17T09:45:00,1619,,Sweep @ 2316.56000 idx=1619,STATE_TRANSITION
RANGE_to_SWEEP,2024-06-17T16:30:00,1646,,Sweep @ 2325.83000 idx=1646,STATE_TRANSITION
RANGE_to_SWEEP,2024-06-17T17:30:00,1650,,Sweep @ 2327.65000 idx=1650,STATE_TRANSITION
SWEEP_to_DISPLACEMENT,2024-06-17T18:30:00,1654,,Displacement | body_ratio=0.977 wick=8.33000,STATE_TRANSITION
RANGE_to_SWEEP,2024-06-18T03:00:00,1684,,Sweep @ 2323.22000 idx=1684,STATE_TRANSITION
RANGE_to_SWEEP,2024-06-18T09:45:00,1711,,Sweep @ 2318.82000 idx=1711,STATE_TRANSITION
RANGE_to_SWEEP,2024-06-18T15:45:00,1735,,Sweep @ 2324.25000 idx=1735,STATE_TRANSITION
RANGE_to_SWEEP,2024-06-18T18:45:00,1747,,Sweep @ 2329.00000 idx=1747,STATE_TRANSITION
RANGE_to_SWEEP,2024-06-19T04:15:00,1781,,Sweep @ 2326.71000 idx=1781,STATE_TRANSITION
RANGE_to_SWEEP,2024-06-19T10:00:00,1804,,Sweep @ 2332.72000 idx=1804,STATE_TRANSITION
RANGE_to_SWEEP,2024-06-19T14:15:00,1821,,Sweep @ 2326.45000 idx=1821,STATE_TRANSITION
RANGE_to_SWEEP,2024-06-19T15:30:00,1826,,Sweep @ 2325.32000 idx=1826,STATE_TRANSITION
RANGE_to_SWEEP,2024-06-20T03:15:00,1859,,Sweep @ 2327.75000 idx=1859,STATE_TRANSITION
SWEEP_to_DISPLACEMENT,2024-06-20T03:45:00,1861,,Displacement | body_ratio=0.834 wick=1.81000,STATE_TRANSITION
RANGE_to_SWEEP,2024-06-20T05:30:00,1868,,Sweep @ 2336.11000 idx=1868,STATE_TRANSITION
RANGE_to_SWEEP,2024-06-20T13:30:00,1900,,Sweep @ 2337.15000 idx=1900,STATE_TRANSITION
RANGE_to_SWEEP,2024-06-20T15:15:00,1907,,Sweep @ 2341.95000 idx=1907,STATE_TRANSITION
RANGE_to_SWEEP,2024-06-21T02:15:00,1947,,Sweep @ 2361.14000 idx=1947,STATE_TRANSITION
RANGE_to_SWEEP,2024-06-21T04:30:00,1956,,Sweep @ 2357.16000 idx=1956,STATE_TRANSITION
RANGE_to_SWEEP,2024-06-21T08:00:00,1970,,Sweep @ 2363.36000 idx=1970,STATE_TRANSITION
SWEEP_to_DISPLACEMENT,2024-06-21T09:15:00,1975,,Displacement | body_ratio=0.701 wick=3.41000,STATE_TRANSITION
RANGE_to_SWEEP,2024-06-21T09:45:00,1977,,Sweep @ 2357.99000 idx=1977,STATE_TRANSITION
SWEEP_to_DISPLACEMENT,2024-06-21T10:30:00,1980,,Displacement | body_ratio=0.882 wick=4.25000,STATE_TRANSITION
RANGE_to_SWEEP,2024-06-21T11:30:00,1984,,Sweep @ 2367.92000 idx=1984,STATE_TRANSITION
RANGE_to_SWEEP,2024-06-21T14:30:00,1996,,Sweep @ 2368.77000 idx=1996,STATE_TRANSITION
RANGE_to_SWEEP,2024-06-21T16:00:00,2002,,Sweep @ 2359.29000 idx=2002,STATE_TRANSITION
RANGE_to_SWEEP,2024-06-24T04:00:00,2046,,Sweep @ 2323.76000 idx=2046,STATE_TRANSITION
RANGE_to_SWEEP,2024-06-24T06:15:00,2055,,Sweep @ 2326.70000 idx=2055,STATE_TRANSITION
RANGE_to_SWEEP,2024-06-24T09:15:00,2067,,Sweep @ 2321.43000 idx=2067,STATE_TRANSITION
SWEEP_to_DISPLACEMENT,2024-06-24T10:30:00,2072,,Displacement | body_ratio=0.863 wick=4.74000,STATE_TRANSITION
RANGE_to_SWEEP,2024-06-24T12:30:00,2080,,Sweep @ 2320.80000 idx=2080,STATE_TRANSITION
RANGE_to_SWEEP,2024-06-24T16:30:00,2096,,Sweep @ 2333.92000 idx=2096,STATE_TRANSITION
RANGE_to_SWEEP,2024-06-24T21:15:00,2115,,Sweep @ 2334.06000 idx=2115,STATE_TRANSITION
RANGE_to_SWEEP,2024-06-25T02:30:00,2132,,Sweep @ 2330.82000 idx=2132,STATE_TRANSITION
RANGE_to_SWEEP,2024-06-25T07:00:00,2150,,Sweep @ 2322.75000 idx=2150,STATE_TRANSITION
RANGE_to_SWEEP,2024-06-25T11:45:00,2169,,Sweep @ 2330.58000 idx=2169,STATE_TRANSITION
RANGE_to_SWEEP,2024-06-25T16:00:00,2186,,Sweep @ 2321.75000 idx=2186,STATE_TRANSITION
SWEEP_to_DISPLACEMENT,2024-06-25T16:45:00,2189,,Displacement | body_ratio=0.848 wick=5.28000,STATE_TRANSITION
SWEEP_to_EXPANSION_shadow,2024-06-25T18:45:00,2197,,Shadow resume: displacement carried from prior HTF window — strength check skipped,STATE_TRANSITION
RANGE_to_SWEEP,2024-06-25T19:45:00,2201,,Sweep @ 2315.56000 idx=2201,STATE_TRANSITION
RANGE_to_SWEEP,2024-06-26T03:15:00,2227,,Sweep @ 2324.09000 idx=2227,STATE_TRANSITION
RANGE_to_SWEEP,2024-06-26T09:00:00,2250,,Sweep @ 2309.74000 idx=2250,STATE_TRANSITION
RANGE_to_SWEEP,2024-06-26T12:30:00,2264,,Sweep @ 2318.49000 idx=2264,STATE_TRANSITION
SWEEP_to_DISPLACEMENT,2024-06-26T13:15:00,2267,,Displacement | body_ratio=0.821 wick=6.26000,STATE_TRANSITION
DISPLACEMENT_to_EXPANSION,2024-06-26T14:15:00,2271,,Bearish expansion | close=2304.57000 disp_close=2308.40000,STATE_TRANSITION
RANGE_to_SWEEP,2024-06-27T02:30:00,2316,,Sweep @ 2296.88000 idx=2316,STATE_TRANSITION
SWEEP_to_DISPLACEMENT,2024-06-27T03:00:00,2318,,Displacement | body_ratio=0.782 wick=1.74000,STATE_TRANSITION
SWEEP_to_EXPANSION_shadow,2024-06-27T04:45:00,2325,,Shadow resume: displacement carried from prior HTF window — strength check skipped,STATE_TRANSITION
