path,loc_approx,class_count,function_count,async_function_count,import_count,internal_import_count,entry_point_markers,config_reads,file_io_hits,subprocess_usage,network_usage,top_level_execution,test_reference_count,parse_status,syntax_error
scripts/analysis/session_sweep.py,377,0,8,0,9,2,"[""__main__"", ""function:main""]",0,0,0,0,True,0,OK,
scripts/analysis/update_reachability_golden.py,77,0,4,0,6,0,"[""__main__"", ""function:main""]",2,0,0,0,False,1,OK,
scripts/analysis/xauusd_corpus_timestamp_gap_analysis.py,542,0,16,0,8,0,"[""__main__"", ""function:main""]",1,2,0,0,True,0,OK,
scripts/analysis/xauusd_phase1_finish_validation.py,359,0,5,0,14,2,"[""__main__"", ""function:main""]",1,3,0,0,True,0,OK,
scripts/analysis/xauusd_strict_reject_forensic.py,128,0,2,0,9,1,"[""__main__"", ""function:main""]",8,0,0,0,True,0,OK,
scripts/analysis/zone_registry_builder.py,72,0,9,0,7,3,"[""__main__"", ""function:run""]",0,2,0,0,False,0,OK,
scripts/auto_train_from_opportunities.py,316,0,10,0,11,1,"[""__main__"", ""function:main""]",0,2,1,0,False,0,OK,
scripts/backtest/backtest_debug_harness.py,50,0,0,0,4,1,[],1,0,0,0,True,0,OK,
scripts/backtest/manual_backtest.py,594,1,21,0,14,0,"[""__main__"", ""function:run""]",0,5,0,0,False,0,OK,
scripts/build_consolidated_docs.py,119,0,3,0,1,0,"[""__main__"", ""function:main""]",0,2,0,0,False,0,OK,
scripts/context/build_context.py,246,0,16,0,8,0,"[""__main__"", ""function:main""]",0,0,1,0,True,1,OK,
scripts/context/discussion.py,45,0,1,0,6,0,"[""__main__"", ""function:main""]",0,0,0,0,True,2,OK,
scripts/context/log_turn.py,53,0,1,0,6,0,"[""__main__"", ""function:main""]",0,3,0,0,True,0,OK,
scripts/context/pack_story.py,36,0,1,0,6,0,"[""__main__"", ""function:main""]",0,0,0,0,True,0,OK,
scripts/context/seed_build_queue.py,93,0,4,0,5,0,"[""__main__"", ""function:main""]",0,0,0,0,False,1,OK,
scripts/control_plane/run_server.py,17,0,1,0,5,1,"[""__main__"", ""function:main""]",0,0,0,0,True,0,OK,
scripts/data/build_m15_unified.py,125,0,6,0,3,0,"[""__main__"", ""function:main""]",7,3,0,0,False,0,OK,
scripts/data/build_rr_dataset.py,244,0,7,0,12,2,"[""__main__"", ""function:main""]",0,3,0,0,True,0,OK,
scripts/data/build_tradenet_dataset.py,56,0,1,0,6,1,"[""__main__"", ""function:main""]",0,1,0,0,True,0,OK,
scripts/data/check_availability.py,29,0,0,0,2,0,[],0,1,0,0,True,0,OK,
scripts/data/check_yfinance.py,32,0,0,0,2,0,[],0,0,0,0,True,0,OK,
scripts/data/convert_binance_m1_to_m15.py,23,0,0,0,3,0,[],0,2,0,0,True,0,OK,
scripts/data/convert_bnb_to_csv.py,18,0,1,0,2,0,"[""__main__""]",0,1,0,0,False,0,OK,
scripts/data/csv_to_excel.py,22,0,0,0,2,0,[],0,1,0,0,True,0,OK,
scripts/data/fetch_and_verify_binance.py,164,0,7,0,12,1,"[""__main__"", ""function:main""]",5,0,0,0,True,0,OK,
scripts/data/fetch_and_verify_mt5.py,175,0,5,0,11,1,"[""__main__"", ""function:main""]",6,0,0,0,True,0,OK,
scripts/data/fetch_candles_alphavantage.py,149,0,3,0,8,0,"[""__main__"", ""function:main""]",5,1,0,0,True,0,OK,
scripts/data/fetch_candles_hummingbot.py,88,0,2,0,7,0,"[""__main__"", ""function:main""]",0,1,0,0,True,0,OK,
scripts/data/fetch_candles_mt5.py,76,0,2,0,6,0,"[""__main__"", ""function:main""]",0,0,0,0,True,0,OK,
scripts/data/fetch_crypto_ccxt.py,139,0,4,0,10,0,"[""__main__"", ""function:main""]",0,2,0,0,True,0,OK,
scripts/data/fetch_forex_yfinance.py,188,0,7,0,10,0,"[""__main__"", ""function:main""]",0,3,0,0,True,0,OK,
scripts/data/fetch_perp_funding.py,96,0,2,0,7,0,"[""__main__"", ""function:main""]",0,1,0,0,True,0,OK,
scripts/data/generate_vectors.py,22,0,2,0,5,1,"[""__main__"", ""function:main""]",0,1,0,0,True,3,OK,
scripts/data/prepare_data.py,392,0,10,0,8,0,"[""__main__"", ""function:main""]",0,4,0,0,False,2,OK,
scripts/data/split_bnb_excel.py,26,0,1,0,3,0,"[""__main__""]",0,1,0,0,False,0,OK,
scripts/data/test_yf_periods.py,13,0,0,0,2,0,[],0,0,0,0,True,0,OK,
scripts/data/unified_data_builder.py,472,0,6,0,10,0,"[""__main__"", ""function:main""]",3,1,0,0,True,0,OK,
scripts/data/verify_output.py,16,0,0,0,2,0,[],0,1,0,0,True,0,OK,
scripts/export/export_bitnet_model.py,35,0,2,0,6,1,"[""__main__"", ""function:main""]",0,1,0,0,True,0,OK,
scripts/export/generate_bootstrap_model.py,46,0,1,0,5,0,[],0,0,0,0,True,0,OK,
scripts/export/regen_bitnet_35.py,77,0,1,0,5,0,[],0,1,0,0,True,0,OK,
scripts/export_model_registry.py,1,0,0,0,0,0,[],0,0,0,0,True,0,OK,
scripts/extract_folder_structure.py,22,0,0,0,2,0,[],0,1,0,0,True,0,OK,
scripts/governance/behavioral_constant_authority_trace.py,1447,1,29,0,13,2,"[""__main__"", ""function:main""]",0,0,1,0,True,1,OK,
scripts/governance/construction_protocol.py,188,0,8,0,8,0,"[""__main__"", ""function:main""]",0,0,2,0,True,1,OK,
scripts/governance/export_findings.py,29,0,1,0,5,0,"[""__main__"", ""function:main""]",0,0,0,0,True,1,OK,
scripts/governance/feature_certification_state.py,291,0,12,0,9,1,"[""__main__"", ""function:main""]",0,0,0,0,True,1,OK,
scripts/governance/feature_dag_certify.py,273,1,16,0,8,0,"[""__main__"", ""function:main""]",0,1,0,0,True,1,OK,
scripts/governance/feature_surface_query.py,786,2,24,0,14,2,"[""__main__"", ""function:main""]",4,3,0,0,True,1,OK,
scripts/governance/framework_gap_audit.py,84,0,3,0,4,0,"[""__main__"", ""function:main""]",0,0,0,0,True,0,OK,
scripts/governance/framework_registry_report.py,110,0,9,0,4,0,"[""__main__"", ""function:main""]",0,0,0,0,True,0,OK,
scripts/governance/promote_v2.py,86,0,1,0,8,0,"[""__main__"", ""function:main""]",0,0,0,0,True,1,OK,
scripts/governance/query_hypotheses.py,69,0,2,0,6,0,"[""__main__"", ""function:main""]",0,0,0,0,True,0,OK,
scripts/governance/query_registry.py,89,0,4,0,6,0,"[""__main__"", ""function:main""]",0,0,0,0,True,1,OK,
scripts/governance/seed_framework_registry.py,172,0,4,0,4,0,"[""__main__"", ""function:main""]",0,0,0,0,True,2,OK,
scripts/governance/seed_hypothesis_registry.py,187,0,3,0,4,0,"[""__main__"", ""function:main""]",0,0,0,0,True,2,OK,
scripts/governance/three_authority_surplus_census.py,832,0,10,0,12,3,"[""__main__"", ""function:main""]",4,0,0,0,True,1,OK,
