"File","LOC"
".\scripts\analysis\xauusd_phase1_finish_validation.py","354"
".\src\uat\uat_runner.py","352"
".\.claude\worktrees\elegant-dubinsky-a2b441\src\uat\uat_runner.py","352"
".\scripts\research\bnbusdt_analyze_report.py","350"
".\scripts\analysis\p4_execution_intent_attribution.py","350"
".\.claude\worktrees\elegant-dubinsky-a2b441\scripts\analysis\p4_execution_intent_attribution.py","350"
".\.claude\worktrees\xenodochial-rhodes-8e28b3\src\core\model_registry.py","346"
".\scripts\research\qualify_zone_topk.py","338"
".\.claude\worktrees\xenodochial-rhodes-8e28b3\src\control_plane\jobs.py","336"
".\.claude\worktrees\elegant-dubinsky-a2b441\src\config_layer\execution_planner.py","335"
".\src\config_layer\execution_planner.py","334"
".\src\research\regime_conditioning.py","333"
".\scripts\analysis\session_sweep.py","333"
".\.claude\worktrees\wizardly-neumann-923c0e\config_validator.py","332"
".\scripts\data\prepare_data.py","326"
".\.claude\worktrees\wizardly-neumann-923c0e\prepare_data.py","326"
".\src\research\forensics.py","318"
".\src\runtime\backtest_bitnet.py","316"
".\.claude\worktrees\xenodochial-rhodes-8e28b3\src\runtime\backtest_bitnet.py","316"
".\.claude\worktrees\elegant-dubinsky-a2b441\src\runtime\backtest_bitnet.py","316"
".\H-SECONDLOW-002_Complete_Package\scripts\research\secondlow_r5_pre_weakness_volatility_mechanics.py","312"
".\scripts\misc\trade_replay_validator.py","309"
".\.claude\worktrees\wizardly-neumann-923c0e\promotion_manager.py","309"
".\.claude\worktrees\elegant-dubinsky-a2b441\src\config_layer\rr\rr_pattern_miner.py","309"
".\scripts\analysis\config_reachability.py","308"
".\.claude\worktrees\great-poitras-daca89\scripts\groq_bridge\prepare_retrospective.py","306"
".\.claude\worktrees\xenodochial-rhodes-8e28b3\src\config_layer\rr\rr_pattern_miner.py","297"
".\scripts\auto_train_from_opportunities.py","291"
".\H-SECONDLOW-002_Complete_Package\scripts\research\secondlow_r5_incremental_signal_strength.py","291"
".\scripts\analysis\p3c1_build_trade_audit.py","290"
".\.claude\worktrees\elegant-dubinsky-a2b441\scripts\analysis\p3c1_build_trade_audit.py","290"
".\src\training\trade_net_v2.py","287"
".\.claude\worktrees\elegant-dubinsky-a2b441\src\training\trade_net_v2.py","287"
".\scripts\analysis\rr_confidence_probe.py","286"
".\scripts\analysis\behavior_census.py","282"
".\manual_tools\trade_generator.py","279"
".\.claude\worktrees\elegant-dubinsky-a2b441\manual_tools\trade_generator.py","279"
".\scripts\analysis\feature_dag_structural_certification.py","270"
".\src\control_plane\monitors.py","267"
".\.claude\worktrees\xenodochial-rhodes-8e28b3\src\control_plane\monitors.py","267"
".\results\baseline\_p6_write.py","266"
".\scripts\research\diagnose_zone_inertness.py","265"
