decision,reason,score,regime,selected_engine,bitnet_score,bitnet_decision,candle_idx,confidence_bucket
BITNET_REJECT,,,,,0.23334908485412598,,186,MID_REJECT
BITNET_REJECT,,,,,0.0,,187,HIGH_REJECT
BITNET_REJECT,,,,,0.0,,188,HIGH_REJECT
BITNET_REJECT,,,,,0.0,,189,HIGH_REJECT
BITNET_REJECT,,,,,0.0,,190,HIGH_REJECT
BITNET_REJECT,,,,,0.0,,191,HIGH_REJECT
BITNET_REJECT,,,,,0.0,,192,HIGH_REJECT
REJECT,data_integrity_failed,0.0,,,0.5047562718391418,ACCEPT,193,
REJECT,data_integrity_failed,0.0,,,0.9998978972434998,ACCEPT,194,
REJECT,data_integrity_failed,0.0,,,0.9999406933784485,ACCEPT,195,
REJECT,data_integrity_failed,0.0,,,0.9999406933784485,ACCEPT,196,
REJECT,data_integrity_failed,0.0,,,0.9999406933784485,ACCEPT,197,
REJECT,data_integrity_failed,0.0,,,0.9999406933784485,ACCEPT,198,
REJECT,data_integrity_failed,0.0,,,0.9999406933784485,ACCEPT,199,
REJECT,data_integrity_failed,0.0,,,0.9999406933784485,ACCEPT,200,
REJECT,data_integrity_failed,0.0,,,0.9999406933784485,ACCEPT,201,
REJECT,data_integrity_failed,0.0,,,0.9999406933784485,ACCEPT,202,
REJECT,data_integrity_failed,0.0,,,0.9999406933784485,ACCEPT,203,
REJECT,data_integrity_failed,0.0,,,0.9999406933784485,ACCEPT,204,
REJECT,data_integrity_failed,0.0,,,0.9999406933784485,ACCEPT,205,
REJECT,data_integrity_failed,0.0,,,0.9999406933784485,ACCEPT,206,
REJECT,data_integrity_failed,0.0,,,0.9999406933784485,ACCEPT,207,
REJECT,data_integrity_failed,0.0,,,0.9999406933784485,ACCEPT,208,
REJECT,data_integrity_failed,0.0,,,0.9999406933784485,ACCEPT,209,
REJECT,data_integrity_failed,0.0,,,0.9999406933784485,ACCEPT,210,
REJECT,data_integrity_failed,0.0,,,0.9999406933784485,ACCEPT,211,
REJECT,data_integrity_failed,0.0,,,0.9999406933784485,ACCEPT,212,
REJECT,data_integrity_failed,0.0,,,0.9999406933784485,ACCEPT,213,
REJECT,data_integrity_failed,0.0,,,0.9999406933784485,ACCEPT,214,
REJECT,data_integrity_failed,0.0,,,0.9999406933784485,ACCEPT,215,
REJECT,data_integrity_failed,0.0,,,0.9999406933784485,ACCEPT,216,
REJECT,data_integrity_failed,0.0,,,0.9999406933784485,ACCEPT,217,
REJECT,data_integrity_failed,0.0,,,0.9999406933784485,ACCEPT,218,
REJECT,data_integrity_failed,0.0,,,0.9999406933784485,ACCEPT,219,
REJECT,data_integrity_failed,0.0,,,0.9999929666519165,ACCEPT,220,
BITNET_REJECT,,,,,0.4927458167076111,,221,MID_REJECT
REJECT,data_integrity_failed,0.0,,,0.9999406933784485,ACCEPT,222,
REJECT,data_integrity_failed,0.0,,,0.9999406933784485,ACCEPT,223,
REJECT,data_integrity_failed,0.0,,,0.9999406933784485,ACCEPT,224,
REJECT,data_integrity_failed,0.0,,,0.9999406933784485,ACCEPT,225,
REJECT,data_integrity_failed,0.0,,,0.9998046159744263,ACCEPT,226,
REJECT,data_integrity_failed,0.0,,,0.988688051700592,ACCEPT,227,
REJECT,data_integrity_failed,0.0,,,0.8699737787246704,ACCEPT,228,
REJECT,data_integrity_failed,0.0,,,0.9999406933784485,ACCEPT,229,
REJECT,data_integrity_failed,0.0,,,0.9999406933784485,ACCEPT,230,
REJECT,data_integrity_failed,0.0,,,0.9999406933784485,ACCEPT,231,
REJECT,data_integrity_failed,0.0,,,0.9999406933784485,ACCEPT,232,
REJECT,data_integrity_failed,0.0,,,0.9999406933784485,ACCEPT,233,
REJECT,data_integrity_failed,0.0,,,0.9999406933784485,ACCEPT,234,
REJECT,data_integrity_failed,0.0,,,0.9999406933784485,ACCEPT,235,
REJECT,data_integrity_failed,0.0,,,0.9999406933784485,ACCEPT,236,
REJECT,data_integrity_failed,0.0,,,0.9999406933784485,ACCEPT,237,
REJECT,data_integrity_failed,0.0,,,0.9999406933784485,ACCEPT,238,
REJECT,data_integrity_failed,0.0,,,0.9999406933784485,ACCEPT,239,
REJECT,data_integrity_failed,0.0,,,0.9999406933784485,ACCEPT,240,
REJECT,data_integrity_failed,0.0,,,0.9999406933784485,ACCEPT,241,
REJECT,data_integrity_failed,0.0,,,0.9999406933784485,ACCEPT,242,
REJECT,data_integrity_failed,0.0,,,0.9999406933784485,ACCEPT,243,
REJECT,data_integrity_failed,0.0,,,0.9999406933784485,ACCEPT,244,
REJECT,data_integrity_failed,0.0,,,0.9999406933784485,ACCEPT,245,
REJECT,data_integrity_failed,0.0,,,0.9999406933784485,ACCEPT,246,
REJECT,data_integrity_failed,0.0,,,0.9999865889549255,ACCEPT,247,
REJECT,data_integrity_failed,0.0,,,0.9999926090240479,ACCEPT,248,
REJECT,data_integrity_failed,0.0,,,0.9974733591079712,ACCEPT,249,
REJECT,data_integrity_failed,0.0,,,0.9999406933784485,ACCEPT,250,
REJECT,data_integrity_failed,0.0,,,0.9999406933784485,ACCEPT,251,
REJECT,data_integrity_failed,0.0,,,0.9999406933784485,ACCEPT,252,
REJECT,data_integrity_failed,0.0,,,0.9999997615814209,ACCEPT,253,
REJECT,data_integrity_failed,0.0,,,0.8754308223724365,ACCEPT,254,
REJECT,data_integrity_failed,0.0,,,0.9999926090240479,ACCEPT,255,
REJECT,data_integrity_failed,0.0,,,0.9999994039535522,ACCEPT,256,
REJECT,data_integrity_failed,0.0,,,0.9987573027610779,ACCEPT,257,
