date,total_opps,long,short,win_rate,avg_rr,tp_hits,sl_hits,timeouts,sweep_count,double_sweep,displacement_count,retest_avg_depth,avg_regime,avg_volatility_ratio,avg_trend_bias
2020-08-07,136,68,68,0.189,-0.312,23,99,14,12,14,26,0.4547,1.81,0.941,-1.0
2020-08-09,56,28,28,0.339,0.018,19,37,0,4,0,12,0.576,0.61,0.988,0.429
2020-08-10,192,96,96,0.385,0.156,74,118,0,10,0,56,0.3161,1.17,1.045,-0.5
2020-08-11,192,96,96,0.323,-0.031,62,130,0,20,4,46,0.4431,1.52,1.067,-0.271
2020-08-12,192,96,96,0.279,-0.155,53,137,2,14,0,34,0.3387,1.39,0.977,0.5
2020-08-13,192,96,96,0.321,-0.03,61,129,2,18,0,46,0.4156,1.23,1.039,0.104
2020-08-14,136,68,68,0.338,0.073,44,86,6,16,0,22,0.4206,1.54,0.983,0.5
2020-08-16,56,28,28,0.339,0.018,19,37,0,6,0,12,0.3951,0.79,1.012,1.0
2020-08-17,192,96,96,0.33,-0.016,62,126,4,22,8,36,0.4537,1.05,1.029,0.667
2020-08-18,192,96,96,0.328,0.013,59,121,12,28,22,40,0.4367,1.27,1.049,0.875
2020-08-19,192,96,96,0.269,-0.133,47,128,17,16,0,42,0.5206,1.47,1.029,-0.625
2020-08-20,192,96,96,0.337,0.03,63,124,5,16,6,42,0.451,1.3,1.009,0.354
2020-08-21,136,68,68,0.331,-0.007,45,91,0,14,0,26,0.5426,1.51,1.035,-0.382
2020-08-23,56,28,28,0.304,-0.089,17,39,0,4,0,14,0.6105,0.75,1.036,0.786
2020-08-24,192,96,96,0.297,-0.109,55,130,7,12,0,40,0.5808,1.22,1.003,0.0
2020-08-25,192,96,96,0.284,-0.136,54,136,2,30,24,36,0.3674,1.12,1.004,0.479
2020-08-26,192,96,96,0.344,0.031,66,126,0,26,14,46,0.3766,1.17,1.036,0.0
2020-08-27,192,96,96,0.303,-0.031,53,122,17,22,18,48,0.431,1.31,1.117,-0.062
2020-08-28,136,68,68,0.351,0.055,47,87,2,20,14,26,0.4525,1.81,0.991,0.471
2020-08-30,56,28,28,0.393,0.179,22,34,0,2,0,12,0.0,1.0,0.964,1.0
2020-08-31,192,96,96,0.323,-0.031,62,130,0,32,16,46,0.3844,1.39,1.074,0.312
2020-09-01,192,96,96,0.346,0.042,66,125,1,18,8,52,0.4707,1.58,1.003,-0.292
2020-09-02,192,96,96,0.3,-0.1,57,133,2,20,10,32,0.3691,1.43,1.025,-0.646
2020-09-03,192,96,96,0.289,-0.113,54,133,5,18,8,28,0.4793,1.42,1.016,0.292
2020-09-04,136,68,68,0.331,0.016,42,85,9,14,0,14,0.373,1.68,1.019,0.059
2020-09-06,56,28,28,0.357,0.071,20,36,0,4,0,12,0.4748,0.82,0.9,-0.214
2020-09-07,192,96,96,0.293,-0.11,55,133,4,28,18,28,0.4465,0.66,1.022,-0.688
2020-09-08,192,96,96,0.365,0.094,70,122,0,22,10,34,0.3848,1.42,1.022,-0.5
2020-09-09,192,96,96,0.303,-0.03,53,122,17,22,10,22,0.4138,1.1,1.02,0.375
2020-09-10,192,96,96,0.365,0.114,69,120,3,16,2,30,0.2458,1.23,1.044,0.354
2020-09-11,136,68,68,0.273,-0.127,35,93,8,18,8,32,0.2606,1.43,1.048,0.147
2020-09-13,56,28,28,0.339,0.018,19,37,0,4,0,8,0.4437,0.25,0.843,0.643
2020-09-14,192,96,96,0.286,-0.139,54,135,3,18,4,46,0.598,0.86,1.048,0.396
2020-09-15,192,96,96,0.269,-0.163,50,136,6,18,8,34,0.3171,0.98,1.007,-0.354
2020-09-16,192,96,96,0.312,-0.062,60,132,0,16,8,52,0.4513,1.45,1.121,-0.229
2020-09-17,192,96,96,0.37,0.109,71,121,0,28,10,38,0.4201,1.45,0.961,0.729
2020-09-18,136,68,68,0.287,-0.14,39,97,0,16,8,28,0.797,1.44,1.028,0.235
2020-09-20,56,28,28,0.357,0.071,20,36,0,8,6,6,0.2878,0.96,0.963,0.071
2020-09-21,192,96,96,0.344,0.031,66,126,0,18,6,38,0.3954,1.25,1.038,-0.146
2020-09-22,192,96,96,0.332,0.005,63,127,2,10,0,40,0.2495,1.36,1.055,-0.646
2020-09-23,192,96,96,0.323,-0.031,62,130,0,18,6,32,0.5544,1.46,1.009,-0.396
2020-09-24,192,96,96,0.237,-0.224,41,132,19,18,0,30,0.2029,1.47,0.997,-0.125
2020-09-25,136,68,68,0.27,-0.084,33,89,14,20,6,28,0.453,1.46,1.048,-0.471
2020-09-27,56,28,28,0.375,0.125,21,35,0,4,0,12,0.5863,1.0,0.912,0.286
2020-09-28,192,96,96,0.396,0.188,76,116,0,16,12,44,0.2695,1.14,1.026,0.604
2020-09-29,192,96,96,0.266,-0.199,50,138,4,34,14,48,0.5743,1.11,1.078,0.875
2020-09-30,192,96,96,0.339,0.062,62,121,9,12,8,36,0.5932,1.45,1.002,0.042
2020-10-01,192,96,96,0.381,0.172,69,112,11,22,8,34,0.4222,1.21,1.024,0.021
2020-10-02,136,68,68,0.189,-0.381,24,103,9,24,16,18,0.2599,1.68,0.985,-0.588
2020-10-04,56,28,28,0.375,0.125,21,35,0,12,10,10,0.4056,0.46,0.998,0.357
2020-10-05,192,96,96,0.333,-0.018,60,120,12,22,8,20,0.5023,0.62,1.015,0.896
